Title,Category,Rating,Price,Stock
A Light in the Attic,Poetry,3,51.77,22
Tipping the Velvet,Historical Fiction,1,53.74,20
Soumission,Fiction,1,50.1,20
Sharp Objects,Mystery,4,47.82,20
Sapiens: A Brief History of Humankind,History,5,54.23,20
The Requiem Red,Young Adult,1,22.65,19
The Dirty Little Secrets of Getting Your Dream Job,Business,4,33.34,19
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Default,3,17.93,19
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Default,4,22.6,19
The Black Maria,Poetry,1,52.15,19
"Starving Hearts (Triangular Trade Trilogy, #1)",Default,2,13.99,19
Shakespeare's Sonnets,Poetry,4,20.66,19
Set Me Free,Young Adult,5,17.46,19
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,5,52.29,19
Rip it Up and Start Again,Music,5,35.02,19
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Music,3,57.25,19
Olio,Poetry,1,23.88,19
Mesaerion: The Best Science Fiction Stories 1800-1849,Science Fiction,1,37.59,19
Libertarianism for Beginners,Politics,2,51.33,19
It's Only the Himalayas,Travel,2,45.17,19
In Her Wake,Thriller,1,12.84,19
How Music Works,Music,2,37.32,19
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Food and Drink,3,30.52,19
Chase Me (Paris Nights #2),Romance,5,25.27,19
Black Dust,Romance,5,34.53,19
Birdsong: A Story in Pictures,Childrens,3,54.64,19
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Default,3,22.5,19
Aladdin and His Wonderful Lamp,Default,3,53.13,19
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,Nonfiction,5,40.3,18
Wall and Piece,Art,4,44.18,18
The Four Agreements: A Practical Guide to Personal Freedom,Spirituality,5,17.66,18
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Nonfiction,3,31.05,18
The Elephant Tree,Thriller,5,23.82,18
The Bear and the Piano,Childrens,1,36.89,18
Sophie's World,Philosophy,5,15.94,18
Penny Maybe,Default,3,33.29,18
Maude (1883-1993):She Grew Up with the country,Default,2,18.02,18
"In a Dark, Dark Wood",Mystery,1,19.63,18
Behind Closed Doors,Thriller,4,52.22,18
You can't bury them all: Poems,Poetry,2,33.63,17
Slow States of Collapse: Poems,Poetry,3,57.31,17
Reasons to Stay Alive,Nonfiction,2,26.41,17
Private Paris (Private #10),Fiction,5,47.61,17
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Nonfiction,5,23.11,17
Without Borders (Wanderlove #1),New Adult,2,45.07,16
When We Collided,Contemporary,1,31.77,16
"We Love You, Charlie Freeman",Fiction,5,50.27,16
Untitled Collection: Sabbath Poems 2014,Poetry,4,14.27,16
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Nonfiction,4,44.18,16
Unicorn Tracks,Fantasy,3,18.78,16
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",History,1,25.52,16
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Sequential Art,1,16.28,16
